Time,Position_Y,Velocity_Y,Wheel_1_Velocity,Wheel_2_Velocity,Wheel_3_Velocity,Wheel_4_Velocity,Wheel_1_Force,Wheel_2_Force,Wheel_3_Force,Wheel_4_Force
0.3001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3544,0.011,0.3255,11.0,11.0,1.8382,1.8037,0.6151,0.6151,25.0,25.0
0.3836,0.0226,0.4489,11.0,11.0,2.5124,2.5301,0.9604,6.5482,25.0,25.0
0.4044,0.0336,0.6058,11.0,11.0,3.3543,3.4471,5.106,19.2274,25.0,25.0
0.4211,0.0449,0.7401,11.0,11.0,4.0918,4.227,3.5824,17.6426,25.0,25.0
0.4378,0.0581,0.8283,11.0,11.0,4.5939,4.7495,0.4915,19.0335,25.0,25.0
0.4502,0.0688,0.8682,11.0,11.0,4.7955,4.9596,0.5954,0.5954,25.0,25.0
0.4627,0.0805,0.9599,11.0,11.0,5.2972,5.4918,0.4107,0.4131,25.0,25.0
0.4753,0.0931,1.0413,11.0,11.0,5.8748,5.8754,11.3853,3.3617,25.0,25.0
0.4877,0.1064,1.0864,11.0,11.0,6.0628,6.0927,9.3854,0.2479,25.0,25.0
0.5003,0.1207,1.1584,11.0,11.0,6.496,6.4807,0.7526,0.7529,25.0,25.0
0.5127,0.1358,1.2302,11.0,11.0,6.8944,6.9011,2.492,5.0093,25.0,25.0
0.521,0.1462,1.2628,11.0,11.0,7.0521,7.0872,0.4584,0.4584,25.0,25.0
0.5295,0.1573,1.352,10.9998,11.0002,7.5478,7.6018,11.9217,10.5174,25.0,25.0
0.5377,0.1688,1.3805,11.0,11.0,7.7113,7.7693,1.0564,1.0564,25.0,25.0
0.5462,0.1806,1.4268,10.9999,11.0001,7.9729,8.0,5.604,17.9244,25.0,25.0
0.5544,0.1927,1.4646,11.0,11.0,8.2171,8.3296,0.2082,0.2082,25.0,25.0
0.5628,0.2051,1.5022,11.0,11.0,8.4392,8.4004,6.8549,4.7614,25.0,25.0
0.5713,0.2177,1.5219,11.0,11.0,8.5083,8.516,0.6653,0.6645,25.0,25.0
0.5794,0.2308,1.5892,11.0,11.0,10.2058,11.0,19.1183,13.3217,25.0,22.8713
0.5877,0.2444,1.6443,11.0,11.0,9.2092,9.2045,0.6781,0.6803,25.0,25.0
0.5961,0.2584,1.7129,11.0,10.9393,9.5877,9.6009,11.385,25.0,25.0,25.0
0.6044,0.2731,1.7631,11.0,11.0,9.8829,9.9031,1.0285,1.0276,25.0,25.0
0.6127,0.288,1.8039,11.0,11.0,10.0752,10.1222,0.4261,9.0144,25.0,25.0
0.6211,0.3034,1.8561,11.0,11.0,10.9998,10.4278,3.0419,0.5549,18.8814,25.0
0.6295,0.3189,1.8656,11.0,11.0,10.4523,10.4262,0.877,0.877,25.0,25.0
0.6377,0.3348,1.9192,11.0,11.0,11.0001,11.0,9.6309,0.0459,6.4092,1.4921
0.646,0.3509,1.934,11.0,11.0,10.8172,10.8282,0.7728,0.7728,25.0,25.0
0.6545,0.3673,1.9638,10.9882,10.9935,11.0022,11.0161,7.0177,3.3207,-2.3507,-11.632
0.6628,0.3836,1.9647,11.0,11.0,10.9997,10.9987,0.9007,0.8792,21.5103,21.5402
0.6713,0.4,1.9639,10.9967,10.9997,10.9975,11.0061,-0.0887,-1.8426,-0.5196,-5.6684
0.6795,0.4163,1.9632,11.0,11.0,11.0011,10.9979,0.9453,0.9455,14.722,23.7325
0.6878,0.4327,1.964,11.0012,11.0026,10.9963,10.9999,-4.2026,-4.935,-0.701,-1.6458
0.6964,0.449,1.9621,11.0,11.0,10.9995,10.9992,1.1755,1.2187,19.5121,16.7095
0.7045,0.4654,1.9638,11.0054,11.0104,10.9896,10.9947,-8.5905,-12.4562,1.3546,-2.6183
0.713,0.4818,1.9602,11.0003,11.0014,11.0042,10.9933,2.1371,9.6365,7.8858,15.5053
0.7211,0.4981,1.9633,11.012,11.0158,10.9854,10.9868,-14.4029,-15.9613,2.9458,2.9514
0.7297,0.5145,1.9582,11.0012,11.002,11.0046,10.9937,7.2944,12.1091,0.6035,8.0654
0.738,0.5309,1.9625,11.0156,11.0202,10.9824,10.9818,-13.6068,-16.2885,8.2575,8.959
0.7463,0.5472,1.9593,10.9999,11.0,11.0,10.9997,3.3651,2.5533,0.5353,1.5601
0.7545,0.5636,1.9634,11.0304,11.0,10.9839,10.9857,-18.5164,0.0798,12.0806,9.7925
0.7628,0.5799,1.9659,10.9998,11.0007,11.0,11.0,-5.0977,-5.6856,-0.0792,-0.1498
0.7711,0.5963,1.9655,11.0,11.0,10.9983,11.0007,0.7308,0.7274,16.4465,13.0716
0.7796,0.6127,1.9658,10.9987,11.0017,11.0003,11.0,-6.7316,-10.9245,-0.5826,-0.3179
0.788,0.629,1.9648,11.0,11.0,10.9986,11.0001,0.773,0.7719,17.5867,17.3821
0.7961,0.6454,1.9652,10.9989,11.0008,11.0002,11.0,-4.248,-5.4316,-8.2948,-0.2018
0.8045,0.6618,1.964,11.0,11.0,10.9977,11.0012,1.1651,1.0052,21.2809,14.632
0.8128,0.6781,1.9639,10.9977,11.001,10.9972,11.0,-1.5418,-4.1048,-1.2598,-6.6185
0.8212,0.6945,1.9621,11.0,11.0,10.9984,11.0001,1.2348,1.221,19.9413,17.9387
0.8295,0.7108,1.9637,11.0018,11.0064,10.9932,10.9987,-4.4667,-6.6892,1.4679,-1.5275
0.8379,0.7272,1.9601,11.0,11.0015,11.0029,10.995,1.3206,2.4933,13.6831,23.0512
0.8462,0.7436,1.9634,11.0099,11.0127,10.9883,10.9891,-10.9928,-11.9607,3.1859,3.5618
0.8545,0.7599,1.9579,11.0007,11.0017,11.002,10.9938,1.9337,2.5447,13.9536,22.2583
0.8628,0.7763,1.9625,11.0169,11.0198,10.9826,10.9807,-15.6721,-17.0113,6.896,8.7374
0.8711,0.7926,1.959,10.9999,11.0,11.0,10.9993,3.1163,0.6568,0.6501,6.8071
0.8796,0.809,1.9613,11.0201,11.0258,10.9786,10.9755,-14.9037,-19.7541,12.2909,13.613
0.8878,0.8253,1.9661,11.0004,10.9991,11.0005,11.0,-2.228,-0.6433,-1.7325,0.0112
0.8962,0.8417,1.9658,11.0,11.0,10.9984,11.0007,0.7853,0.7853,19.9612,12.3075
0.9046,0.8581,1.9656,10.9985,11.0017,10.9999,11.0,-1.5637,-4.0939,-3.94,-2.2036
0.9127,0.8744,1.9647,11.0,11.0,10.9997,10.9989,0.8213,0.7905,19.3022,18.6355
0.9212,0.8908,1.965,10.9978,11.0007,11.0007,11.0002,-1.0503,-2.3986,-5.5286,-4.7285
0.9294,0.9071,1.9636,11.0,11.0,11.0002,10.9987,0.9288,0.9292,16.3522,21.8395
0.9379,0.9235,1.9644,10.9994,11.0018,10.9991,10.9999,-6.776,-8.6671,-6.4176,-2.9289
0.9462,0.9399,1.9623,11.0,11.0,10.9978,11.0008,1.1686,1.1952,19.6829,15.9935
0.9545,0.9562,1.9638,11.0038,11.0083,10.9912,10.9966,-6.7,-10.0927,1.2306,-2.8293
0.9629,0.9726,1.9598,11.0,11.0,11.0009,10.9979,1.3356,1.2966,15.8468,22.7586
0.9711,0.989,1.9633,11.0091,11.0127,10.9883,10.99,-10.8041,-12.4112,2.786,2.4437
0.9795,1.0053,1.9579,11.0022,11.0014,11.0034,10.9921,4.3995,2.9908,11.3916,20.3022
0.988,1.0216,1.9626,11.0147,11.0209,10.9817,10.9827,-9.7886,-14.6966,12.9296,11.1586
0.9961,1.038,1.9583,11.0,11.0001,11.0,11.0003,3.6135,3.7576,0.6622,0.7992
1.0045,1.0543,1.9614,11.0202,11.027,10.9771,10.9757,-18.095,-23.2163,10.108,10.4985
1.013,1.0707,1.9658,10.9978,11.0025,11.0,11.0,-3.278,-10.6341,-0.179,-0.2635
