Time,Position_Y,Velocity_Y,Wheel_1_Velocity,Wheel_2_Velocity,Wheel_3_Velocity,Wheel_4_Velocity,Wheel_1_Force,Wheel_2_Force,Wheel_3_Force,Wheel_4_Force
0.3009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3553,0.011,0.3255,11.0,11.0,1.8382,1.8037,0.6151,0.6151,25.0,25.0
0.3846,0.0226,0.4489,11.0,11.0,2.5124,2.5301,0.9604,6.5482,25.0,25.0
0.4053,0.0336,0.6058,11.0,11.0,3.3543,3.4471,5.106,19.2274,25.0,25.0
0.4219,0.0449,0.7401,11.0,11.0,4.0918,4.227,3.5824,17.6426,25.0,25.0
0.4386,0.0581,0.8283,11.0,11.0,4.5939,4.7495,0.4915,19.0335,25.0,25.0
0.451,0.0688,0.8682,11.0,11.0,4.7955,4.9596,0.5954,0.5954,25.0,25.0
0.4635,0.0805,0.9599,11.0,11.0,5.2972,5.4918,0.4107,0.4131,25.0,25.0
0.4763,0.0931,1.0413,11.0,11.0,5.8748,5.8754,11.3853,3.3617,25.0,25.0
0.4885,0.1064,1.0864,11.0,11.0,6.0628,6.0927,9.3854,0.2479,25.0,25.0
0.5013,0.1207,1.1584,11.0,11.0,6.496,6.4807,0.7526,0.7529,25.0,25.0
0.5135,0.1358,1.2302,11.0,11.0,6.8944,6.9011,2.492,5.0093,25.0,25.0
0.5218,0.1462,1.2628,11.0,11.0,7.0521,7.0872,0.4584,0.4584,25.0,25.0
0.5305,0.1573,1.352,10.9998,11.0002,7.5478,7.6018,11.9217,10.5174,25.0,25.0
0.5385,0.1688,1.3805,11.0,11.0,7.7113,7.7693,1.0564,1.0564,25.0,25.0
0.547,0.1806,1.4268,10.9999,11.0001,7.9729,8.0,5.604,17.9244,25.0,25.0
0.5552,0.1927,1.4646,11.0,11.0,8.2171,8.3296,0.2082,0.2082,25.0,25.0
0.5635,0.2051,1.5022,11.0,11.0,8.4392,8.4004,6.8549,4.7614,25.0,25.0
0.5721,0.2177,1.5219,11.0,11.0,8.5083,8.516,0.6653,0.6645,25.0,25.0
0.5802,0.2308,1.5892,11.0,11.0,10.2058,11.0,19.1183,13.3217,25.0,22.8713
0.5885,0.2444,1.6443,11.0,11.0,9.2092,9.2045,0.6781,0.6803,25.0,25.0
0.5969,0.2584,1.7129,11.0,10.9393,9.5877,9.6009,11.385,25.0,25.0,25.0
0.6052,0.2731,1.7631,11.0,11.0,9.8829,9.9031,1.0285,1.0276,25.0,25.0
0.6135,0.288,1.8039,11.0,11.0,10.0752,10.1222,0.4261,9.0144,25.0,25.0
0.6219,0.3034,1.8561,11.0,11.0,10.9998,10.4278,3.0419,0.5549,18.8814,25.0
0.6302,0.3189,1.8656,11.0,11.0,10.4523,10.4262,0.877,0.877,25.0,25.0
0.6385,0.3348,1.9192,11.0,11.0,11.0001,11.0,9.6309,0.0459,6.4092,1.4921
0.6468,0.3509,1.934,11.0,11.0,10.8172,10.8282,0.7728,0.7728,25.0,25.0
0.6553,0.3673,1.9638,10.9882,10.9935,11.0022,11.0161,7.0177,3.3207,-2.3507,-11.632
0.6636,0.3836,1.9647,11.0,11.0,10.9997,10.9987,0.9007,0.8792,21.5103,21.5402
0.672,0.4,1.9639,10.9967,10.9997,10.9975,11.0061,-0.0887,-1.8426,-0.5196,-5.6684
0.6803,0.4163,1.9632,11.0,11.0,11.0011,10.9979,0.9453,0.9455,14.722,23.7325
0.6886,0.4327,1.964,11.0012,11.0026,10.9963,10.9999,-4.2026,-4.935,-0.701,-1.6458
0.6972,0.449,1.9621,11.0,11.0,10.9995,10.9992,1.1755,1.2187,19.5121,16.7095
0.7055,0.4654,1.9638,11.0054,11.0104,10.9896,10.9947,-8.5905,-12.4562,1.3546,-2.6183
0.7139,0.4818,1.9602,11.0003,11.0014,11.0042,10.9933,2.1371,9.6365,7.8858,15.5053
0.7221,0.4981,1.9633,11.012,11.0158,10.9854,10.9868,-14.4029,-15.9613,2.9458,2.9514
0.7304,0.5145,1.9582,11.0012,11.002,11.0046,10.9937,7.2944,12.1091,0.6035,8.0654
0.7386,0.5309,1.9625,11.0156,11.0202,10.9824,10.9818,-13.6068,-16.2885,8.2575,8.959
0.7469,0.5472,1.9593,10.9999,11.0,11.0,10.9997,3.3651,2.5533,0.5353,1.5601
0.7553,0.5636,1.9634,11.0304,11.0,10.9839,10.9857,-18.5164,0.0798,12.0806,9.7925
0.7636,0.5799,1.9659,10.9998,11.0007,11.0,11.0,-5.0977,-5.6856,-0.0792,-0.1498
0.772,0.5963,1.9655,11.0,11.0,10.9983,11.0007,0.7308,0.7274,16.4465,13.0716
0.7804,0.6127,1.9658,10.9987,11.0017,11.0003,11.0,-6.7316,-10.9245,-0.5826,-0.3179
0.7886,0.629,1.9648,11.0,11.0,10.9986,11.0001,0.773,0.7719,17.5867,17.3821
0.7969,0.6454,1.9652,10.9989,11.0008,11.0002,11.0,-4.248,-5.4316,-8.2948,-0.2018
0.8053,0.6618,1.964,11.0,11.0,10.9977,11.0012,1.1651,1.0052,21.2809,14.632
0.8136,0.6781,1.9639,10.9977,11.001,10.9972,11.0,-1.5418,-4.1048,-1.2598,-6.6185
0.822,0.6945,1.9621,11.0,11.0,10.9984,11.0001,1.2348,1.221,19.9413,17.9387
0.8303,0.7108,1.9637,11.0018,11.0064,10.9932,10.9987,-4.4667,-6.6892,1.4679,-1.5275
