Time,Position_Y,Velocity_Y,Wheel_1_Velocity,Wheel_2_Velocity,Wheel_3_Velocity,Wheel_4_Velocity,Wheel_1_Force,Wheel_2_Force,Wheel_3_Force,Wheel_4_Force
1.319,1.7254,2.0012,11.2,11.197,11.2004,11.2025,0.5102,6.3044,4.1201,3.0817
1.3273,1.742,1.9953,11.2,11.2,11.2006,11.1984,1.2649,1.2649,15.5182,22.5503
1.3354,1.7587,2.0015,11.1999,11.1998,11.1997,11.1999,1.1737,1.2537,1.4638,1.5565
1.3439,1.7753,1.9937,11.2,11.2,11.1998,11.1989,1.3117,1.3123,19.0115,23.0792
1.3522,1.792,2.0014,11.2018,11.2031,11.1974,11.1977,1.008,-0.2283,4.3387,3.6921
1.3605,1.8086,1.9948,11.2,11.2,11.2,11.1973,0.8403,0.8556,0.8494,14.6102
1.3688,1.8253,2.0011,11.2009,11.2029,11.1981,11.1981,-0.4404,-2.2651,1.373,1.0991
1.377,1.842,2.0,11.2,11.2,11.2,11.2,0.3491,0.3523,0.2459,0.2958
1.3856,1.8586,2.0008,11.2021,11.2047,11.1969,11.1963,-0.1065,-1.5486,3.4559,4.5459
1.3938,1.8753,2.0003,11.2,11.2,11.2,11.2,0.317,0.3475,0.2775,0.2425
1.4023,1.8919,2.0001,11.2042,11.2067,11.1955,11.1936,-1.4179,-2.4513,4.8354,6.7511
1.4104,1.9086,1.9971,11.2,11.2,11.1997,11.2,0.4542,0.473,-0.3662,-1.6772
1.4188,1.9252,1.9994,11.2045,11.2068,11.1961,11.1926,-2.229,-3.4061,3.3623,6.1498
1.4273,1.9419,2.0,11.1965,11.1945,11.2084,11.2002,3.6323,4.7291,-4.3555,-4.1414
1.4355,1.9585,1.9984,11.2068,11.2114,11.1923,11.1895,-3.5008,-7.2846,6.0346,7.0025
1.4439,1.9752,2.0002,11.1968,11.1952,11.2022,11.206,1.5713,2.5601,-2.3823,-4.6223
1.4521,1.9919,1.9972,11.2069,11.2108,11.1935,11.1888,-2.1321,-4.3785,6.5659,10.3957
1.4604,2.0085,2.0009,11.197,11.1963,11.2038,11.2003,2.5952,2.9376,-2.1233,-3.9059
1.4687,2.0252,1.9959,11.2078,11.2133,11.1916,11.1874,-5.5529,-10.0605,4.6848,6.7317
1.477,2.0419,2.0012,11.1972,11.1975,11.2012,11.204,2.751,2.4809,0.1806,-1.7672
1.4854,2.0585,1.9952,11.2137,11.2,11.194,11.1922,-0.7161,0.655,12.0339,12.9915
1.494,2.0752,2.0013,11.1999,11.1997,11.1993,11.2012,2.3418,2.908,3.0484,2.3877
1.5022,2.0918,1.9946,11.2,11.2,11.2012,11.1978,1.2512,1.2518,14.479,24.6225
1.5105,2.1085,2.0014,11.1996,11.1994,11.2006,11.2003,0.2835,0.658,-0.1714,0.3466
1.5189,2.1251,1.9932,11.2,11.2,11.1998,11.199,1.3303,1.4125,16.8911,21.7802
1.5272,2.1418,2.0015,11.2013,11.2015,11.1991,11.1981,-0.9203,-1.0407,0.6914,1.5075
1.5356,2.1584,1.9943,11.2,11.2,11.2,11.1967,0.8806,0.9216,0.7957,15.0953
1.5438,2.1751,2.0011,11.2022,11.2042,11.197,11.1965,-0.3817,-2.4528,3.0582,2.8413
1.5521,2.1917,1.9996,11.2,11.2,11.1999,11.2,0.354,0.3608,-0.2136,0.2478
1.5604,2.2084,2.0006,11.2011,11.2044,11.1974,11.197,1.6805,-0.8905,4.3359,4.3589
1.5689,2.2251,1.9958,11.2,11.201,11.1983,11.2012,0.5036,1.307,-0.8941,-4.3814
1.5772,2.2417,1.9999,11.2052,11.2078,11.1947,11.1924,-2.4803,-3.5741,4.6984,7.0908
1.5856,2.2584,1.9986,11.1996,11.2,11.2026,11.1999,3.3652,3.5187,-2.6492,-4.7013
1.5939,2.275,1.999,11.2053,11.2084,11.1947,11.1916,2.8195,0.7858,10.1859,12.3976
1.6022,2.2917,2.0008,11.2006,11.1994,11.1998,11.2,-0.2754,0.5281,-2.7837,0.2188
1.6107,2.3083,1.9981,11.2071,11.2105,11.1931,11.1893,-0.6178,-2.6607,8.8867,11.8469
1.6189,2.325,2.0012,11.1999,11.2003,11.2,11.2,-1.8672,-2.8241,0.1665,0.1691
1.6272,2.3416,1.9969,11.2081,11.212,11.1921,11.1878,-8.7934,-10.3442,1.5849,5.6328
1.6355,2.3583,2.001,11.1989,11.1982,11.2029,11.2,0.3295,0.6875,-2.3456,-1.6318
1.6438,2.375,1.9954,11.207,11.2122,11.1926,11.1882,-5.2887,-9.5235,3.7686,6.0704
1.6523,2.3916,2.0011,11.1977,11.1967,11.2018,11.2039,3.2781,3.6861,0.0692,-0.8602
1.6606,2.4083,1.9947,11.2129,11.2,11.1952,11.1918,-2.3403,0.6557,9.4697,11.7987
1.6688,2.425,2.0015,11.1987,11.1989,11.2007,11.2016,2.3606,2.3256,1.2467,0.8415
1.6771,2.4416,1.994,11.2,11.2,11.1998,11.1974,1.3114,1.3111,19.2857,25.0
1.6854,2.4583,2.0015,11.201,11.2011,11.1991,11.1987,0.4458,0.2332,1.9416,2.0988
1.6938,2.4749,1.9948,11.2,11.2,11.2001,11.1966,0.9363,0.8663,0.8325,18.4163
1.7022,2.4916,2.0013,11.2,11.2017,11.1992,11.1991,1.7053,-0.0991,2.2511,1.7769
1.7104,2.5082,1.9992,11.2,11.2,11.1998,11.2,0.3897,0.399,-0.4857,0.2234
1.7188,2.5249,2.0009,11.2023,11.2055,11.196,11.1962,1.1646,-1.2777,5.6827,5.3386
1.7271,2.5415,1.9956,11.2,11.2001,11.1994,11.2006,0.5542,1.0013,-0.3066,-1.5373
1.7354,2.5582,2.0002,11.2026,11.2046,11.1975,11.1953,1.7207,0.5152,5.6962,7.4738
1.7439,2.5748,1.9967,11.2,11.2,11.199,11.201,0.5393,0.5458,0.8379,-1.4039
1.752,2.5915,1.9994,11.2047,11.208,11.1948,11.1925,-1.0023,-3.2604,5.6003,7.117
1.7604,2.6082,1.9983,11.2,11.2004,11.198,11.2018,0.4928,1.6275,1.7178,-1.3076
1.7687,2.6248,1.9984,11.2074,11.21,11.1933,11.1894,-3.9902,-5.5178,5.5324,8.2804
1.7771,2.6415,1.9998,11.1999,11.2,11.2007,11.2,0.829,0.9525,-0.9768,0.383
1.7855,2.6581,1.9973,11.2061,11.2103,11.1937,11.1899,-3.1971,-6.4852,4.5061,6.8986
1.7937,2.6748,2.0006,11.1957,11.1952,11.2029,11.2062,2.9101,3.0865,-1.9311,-4.2904
1.802,2.6914,1.9962,11.2067,11.2123,11.1922,11.1888,-4.6116,-8.9843,4.5902,6.2765
1.8104,2.7081,2.0011,11.1976,11.197,11.2014,11.2041,2.8919,3.4463,0.2183,-0.956
1.8187,2.7247,1.9955,11.213,11.2,11.1949,11.1921,-1.6487,0.6245,10.4948,12.5452
1.8272,2.7414,2.0014,11.1991,11.199,11.2004,11.2015,1.5267,1.8296,0.935,0.442
1.8355,2.758,1.9946,11.2,11.2,11.1991,11.1952,1.2907,1.2822,20.1574,25.0
1.8437,2.7747,2.0016,11.1991,11.1989,11.201,11.2009,0.8576,1.1031,-0.3321,-0.0877
1.8521,2.7914,1.9939,11.2,11.2,11.1982,11.2003,1.3986,1.4265,22.3717,18.5878
1.8604,2.808,2.0015,11.2014,11.2031,11.1974,11.1981,-0.7346,-2.0773,2.0916,1.4562
1.8689,2.8247,1.9968,11.2,11.2,11.2,11.1979,0.8594,0.8775,0.7878,19.4393
1.8771,2.8413,2.0012,11.2013,11.2025,11.1985,11.1977,0.8576,-0.3308,2.853,3.1444
1.8853,2.858,2.0003,11.2,11.2,11.2,11.2,0.3288,0.3385,0.2388,0.2977
1.8937,2.8747,2.0008,11.2022,11.2048,11.1968,11.1963,0.3244,-1.8719,4.0646,4.115
1.9021,2.8913,1.9989,11.2,11.2,11.1999,11.2001,0.3832,0.3838,0.195,-1.322
1.9106,2.908,2.0,11.2037,11.2073,11.195,11.194,1.9967,0.1572,8.1474,9.6221
1.9188,2.9246,1.9992,11.2,11.1998,11.2,11.2001,0.3275,0.5633,0.3309,-2.2602
1.9272,2.9413,1.9992,11.2045,11.2067,11.1961,11.1928,-2.8508,-3.5973,2.8279,5.8523
1.9355,2.958,1.9997,11.1999,11.1948,11.203,11.1998,1.6522,3.3646,-5.1387,-1.4733
1.9438,2.9746,1.9984,11.2063,11.2085,11.1948,11.1905,-4.0197,-5.1045,3.5892,6.8972
1.9522,2.9913,2.0007,11.198,11.1965,11.2055,11.2001,0.7208,1.5816,-4.4128,-0.3077
1.9605,3.0079,1.9971,11.2071,11.211,11.193,11.1889,-3.9012,-7.2969,4.7481,7.1405
1.9688,3.0246,2.0008,11.1972,11.1966,11.2017,11.2046,2.0085,2.0739,-1.1247,-3.3205
1.9772,3.0412,1.9958,11.2057,11.2111,11.1934,11.1898,-3.5793,-8.0061,4.1395,5.7882
1.9855,3.0579,2.0013,11.1962,11.1966,11.2022,11.2049,3.8392,3.5047,-0.0818,-1.9032
1.9939,3.0745,1.9951,11.2132,11.2,11.1946,11.1921,0.4782,0.5976,13.1437,14.9702
2.0022,3.0912,2.0015,11.1997,11.1999,11.1997,11.2008,1.7409,1.7961,2.04,1.5843
2.0105,3.1078,1.9938,11.2,11.2,11.1991,11.1936,1.3398,1.3339,19.8196,25.0
2.0187,3.1245,2.0015,11.1998,11.1997,11.2003,11.1999,1.0148,1.0596,1.0146,1.2534
2.0273,3.1411,1.993,11.2,11.2,11.1981,11.2005,1.4506,1.3592,22.4697,18.608
2.0356,3.1578,2.0015,11.2009,11.2028,11.1979,11.1984,0.1201,-1.3631,2.2833,1.8075
2.0437,3.1745,1.9996,11.2,11.2,11.2,11.2,0.3326,0.3661,0.2699,0.2248
2.0522,3.1911,2.0009,11.2028,11.2039,11.1973,11.196,-0.4276,-0.9831,3.5556,4.7606
2.0605,3.2078,1.997,11.2,11.2,11.2004,11.2,0.4565,0.4725,-2.0541,0.3808
2.0688,3.2244,2.0003,11.2014,11.2045,11.1973,11.1968,2.0728,-0.2526,4.9716,5.2926
2.0773,3.2411,1.9963,11.2,11.2,11.1997,11.2003,0.4827,0.4989,-0.8012,-1.9814
2.0855,3.2577,1.9998,11.2042,11.2063,11.1961,11.1934,-1.4279,-2.3179,4.1284,6.6332
2.0938,3.2744,1.9984,11.1999,11.1999,11.2012,11.2,2.7891,1.4335,-1.8832,-2.4429
2.1021,3.291,1.9989,11.2054,11.2093,11.1937,11.1915,-2.4346,-5.6584,5.1502,6.0121
2.1106,3.3077,1.9996,11.2001,11.1934,11.2014,11.2052,0.3294,4.1436,-1.397,-3.66
2.119,3.3243,1.9979,11.2054,11.2085,11.1951,11.191,-1.0769,-2.9215,5.5396,8.8489
2.1273,3.341,2.001,11.1976,11.1968,11.2055,11.2001,1.9013,2.1862,-3.5512,-1.3932
2.1356,3.3577,1.9967,11.2074,11.2121,11.192,11.1885,-5.2243,-9.2797,4.4519,5.9683
2.1437,3.3743,2.0011,11.1979,11.1979,11.2007,11.2035,2.0177,1.9506,0.2882,-1.6986
2.1521,3.391,1.9951,11.2062,11.2121,11.1926,11.1891,-3.5349,-7.9026,5.1291,7.0741
2.1606,3.4077,2.0012,11.2001,11.1968,11.2005,11.2025,0.6311,6.13,3.6454,2.7421
2.1688,3.4243,1.9955,11.2,11.2,11.2005,11.1984,1.2627,1.2627,15.6067,22.2327
2.1771,3.441,2.0016,11.1999,11.1996,11.2002,11.2004,1.1544,1.399,1.1312,1.1429
2.1854,3.4576,1.9938,11.2,11.2,11.1998,11.1988,1.3063,1.3071,19.2697,23.0515
2.1939,3.4743,2.0015,11.2015,11.2024,11.1979,11.1982,1.1222,0.105,3.8189,3.1462
2.2022,3.4909,1.9947,11.2,11.2,11.2,11.1973,0.8359,0.8519,0.8476,14.897
2.2105,3.5076,2.0012,11.2004,11.2021,11.1987,11.1988,-0.2433,-1.8031,0.8353,0.4872
2.2187,3.5243,1.9998,11.2,11.2,11.2,11.2,0.3548,0.3622,0.2555,0.2964
2.2272,3.5409,2.001,11.2016,11.2037,11.1976,11.1971,0.1316,-1.0017,2.8364,3.8289
2.2354,3.5576,2.0003,11.2,11.2,11.2,11.2,0.3185,0.3463,0.2755,0.2443
2.2439,3.5742,2.0003,11.2035,11.2052,11.1967,11.1946,0.4979,-0.5769,5.468,7.065
2.2523,3.5909,1.9983,11.2,11.2,11.2,11.2,0.4743,0.4813,1.3212,-0.255
2.2605,3.6075,1.9996,11.2027,11.2062,11.1964,11.1947,0.242,-2.6171,4.3668,4.9101
2.2689,3.6242,1.9981,11.2,11.2007,11.1983,11.2017,0.47,2.5217,0.0162,-2.5529
2.2772,3.6408,1.9986,11.2066,11.2092,11.1938,11.1904,-3.5021,-4.7258,5.0874,7.9492
2.2857,3.6575,2.0002,11.1971,11.1955,11.2022,11.2051,1.9765,2.865,-1.279,-3.5732
2.2939,3.6742,1.9974,11.2056,11.2092,11.1944,11.1908,-2.5973,-5.6197,4.1952,6.5007
2.3022,3.6908,2.0007,11.1962,11.1955,11.2027,11.2056,2.8478,3.0501,-1.5886,-3.7168
2.3105,3.7075,1.9962,11.2064,11.2115,11.1927,11.1894,-4.0134,-8.1186,4.6209,6.1612
2.3188,3.7242,2.0012,11.1973,11.1976,11.2012,11.2038,2.9972,2.8,0.5796,-1.1751
2.3273,3.7408,1.9952,11.2122,11.2,11.1951,11.1926,0.8468,0.5891,12.5271,14.3204
2.3355,3.7575,2.0013,11.1994,11.1993,11.2002,11.2011,1.5825,1.9153,1.3671,1.0255
2.3439,3.7741,1.994,11.2,11.2,11.1988,11.1936,1.3248,1.3148,20.3776,25.0
2.3521,3.7908,2.0015,11.1996,11.1992,11.2008,11.2004,0.8548,1.1832,0.1533,0.5543
2.3605,3.8074,1.9933,11.2,11.2,11.1983,11.2001,1.4497,1.382,23.4126,19.1647
2.3689,3.8241,2.0015,11.2004,11.202,11.1986,11.1991,0.1753,-1.1606,1.4622,0.8835
2.3771,3.8407,1.9996,11.2,11.2,11.2,11.2,0.3553,0.3681,0.2613,0.2144
2.3855,3.8574,2.0011,11.2022,11.2031,11.1979,11.1968,-0.3392,-0.7166,2.8166,3.9178
2.3939,3.874,1.9968,11.2,11.2,11.2004,11.2,0.4747,0.4917,-1.9915,0.3896
2.4022,3.8907,2.0007,11.2007,11.2035,11.1981,11.1977,2.33,0.2747,4.1844,4.4511
2.4106,3.9073,1.9961,11.2,11.2,11.1998,11.2003,0.4951,0.5144,-1.1378,-2.0402
2.4189,3.924,2.0,11.2043,11.2066,11.1955,11.1936,-0.6079,-1.4934,5.792,7.6616
2.4272,3.9407,1.9978,11.2,11.2,11.1997,11.2003,0.4689,0.4716,0.5266,-0.4784
2.4355,3.9573,1.9991,11.2047,11.2065,11.1962,11.1927,-1.69,-2.5883,4.0208,6.7436
2.4439,3.974,1.9993,11.2,11.2,11.1995,11.2,0.5322,0.4457,2.6113,-0.6215
2.4522,3.9906,1.9982,11.2055,11.2096,11.1937,11.1912,-2.2774,-5.6386,5.4336,6.4186
2.4606,4.0073,2.0007,11.2,11.1973,11.2008,11.1996,0.2587,2.823,-1.3949,-1.9792
2.4689,4.0239,1.9969,11.2072,11.2105,11.1932,11.1892,-6.0332,-7.285,3.1692,6.9469
2.4772,4.0406,2.0008,11.1981,11.197,11.2015,11.2033,1.8683,2.6097,-0.3446,-1.528
2.4857,4.0572,1.9954,11.2059,11.2106,11.1937,11.1897,-2.4658,-6.6927,5.2456,6.7934
2.494,4.0739,2.0012,11.1971,11.1972,11.2019,11.2038,4.3965,4.4999,1.3368,0.5078
2.5023,4.0905,1.9947,11.2113,11.2,11.1958,11.1928,0.8559,0.591,11.3745,13.4889
2.5106,4.1072,2.0016,11.199,11.199,11.2007,11.2013,2.3314,2.4271,1.4664,1.2041
2.5189,4.1238,1.9941,11.2,11.2,11.2002,11.1985,1.3134,1.3134,19.3635,24.8224
