Tiempo,Posición_Y,Velocidad_Y,Velocidad_Ruedas,Fuerza_Ruedas
1708805998.4810736,12.614090075097927,2.4880960323508368,10.999999311889482,-0.3085754370837215
1708805998.4852328,12.624510370029205,2.5008707835067696,11.000059108883976,-20.406707074906038
1708805998.489382,12.634957574053534,2.507328965839118,11.000017866311302,-13.233399820038866
1708805998.4935746,12.645411172993136,2.5088637455046605,11.000006059318105,-6.154237334517674
1708805998.4977117,12.65585914166546,2.507512481357679,11.0,0.28499475123289386
1708805998.5019262,12.66637641780698,2.5241462739648375,11.000028420308857,-20.78593373894541
1708805998.5060725,12.676934308124027,2.533893676091169,11.000001979131161,-14.383632448468184
1708805998.5102148,12.68750980475432,2.5381191912704058,11.000008307225428,-7.911603325655718
1708805998.5144029,12.698089380542008,2.5390981890451734,10.999997174470725,-3.5555559418261398
1708805998.5185566,12.708743382391871,2.556960443967291,11.000034157695902,-22.532943752456266
1708805998.522735,12.71944353661741,2.5680370141292093,11.000039015308968,-17.456636533642016
1708805998.5268805,12.7301670751117,2.5736492386293888,11.000029856222506,-11.837647223781136
1708805998.5310574,12.740895921296408,2.574923084329943,11.000016943237098,-5.821431121860945
1708805998.5352268,12.75161919679249,2.5735861190595477,11.0,0.26856485931294394
1708805998.5393875,12.762411197666841,2.5900802098444404,11.000048660827888,-23.224008966700325
1708805998.5435708,12.773245288803377,2.6001818727684616,11.000038641357918,-17.892777965895007
1708805998.5477161,12.784100062009173,2.605145569391257,11.000026181599626,-12.114826400074262
1708805998.5518923,12.794964863359809,2.607552324152323,11.000002356854713,-9.767609018927638
1708805998.5560594,12.80590829157663,2.6264227720370212,11.000014412548081,-21.713350172062366
1708805998.5602252,12.816941669459439,2.648010691873946,11.203349300199758,-25.0
1708805998.5643885,12.827989065052412,2.651374942313426,11.00001544593497,-11.494099949336377
1708805998.568545,12.839038907394103,2.6519621620059652,11.000009805243957,-3.370510707875422
1708805998.5727198,12.850083674686013,2.6507441500585114,11.0,0.25157378756426774
1708805998.5769026,12.861195196770407,2.6667653002543714,11.000033882271616,-20.588840219845498
1708805998.581046,12.872348357896753,2.6767586703230926,11.000028857594046,-15.820911800754878
1708805998.5852237,12.883522793102712,2.6818644494299178,11.00002075262948,-10.714197795540906
1708805998.5893805,12.89470223052609,2.6830649816108045,11.000012141120209,-5.367389153289869
1708805998.5935614,12.905917085650584,2.691565229878549,11.000022009065137,-0.39596174689490166
1708805998.5978074,12.917219505997206,2.7125808831890943,11.00005906280075,-22.196665272839972
1708805998.6018898,12.92855801215091,2.7212414768889044,11.000025464506832,-15.79718147238265
1708805998.6060882,12.939913811360581,2.725391810321102,11.00001069558844,-9.755435223862525
1708805998.6102169,12.951271355483012,2.7258105893835785,11.000002697266472,-4.089433751370501
1708805998.614393,12.962664945790847,2.7344616738804643,10.999999816886822,-0.39122248591007514
1708805998.6185598,12.974123981649928,2.7501686061796944,11.000019226400635,-20.94102685145236
1708805998.6227126,12.985623801234999,2.7599567004168613,11.000008224680172,-14.777221660718672
1708805998.626889,12.99714438860659,2.7649409691816254,11.000005281768434,-9.022079351516794
1708805998.631058,13.00866949114254,2.766024608628138,11.000005367290774,-3.683095924397186
1708805998.6352391,13.020235125895042,2.775752340600626,10.999999830008422,-0.46077408671231856
1708805998.6394322,13.031871463762359,2.792721088156003,11.000016398456616,-20.837162575227076
1708805998.6435523,13.043553010351198,2.80357118132149,11.000008646023735,-14.778376538237522
1708805998.6477318,13.055259079829453,2.8094566747809404,11.00000642975859,-9.17530868585305
1708805998.6518896,13.066972957507774,2.8113306427969817,11.00000603513434,-4.0251497507866185
1708805998.656064,13.078731022890217,2.8219356917864955,10.999999843776587,-0.5130202232182131
1708805998.660244,13.090341868627732,2.7866029770036764,11.000022097981713,-16.083719340801245
1708805998.6643887,13.101678877216921,2.720882061405337,11.000018024830355,-8.634857079388008
1708805998.6685843,13.112717613806403,2.649296781475802,11.000119462187191,4.580592444604026
